,Year,Gender,Age,Race,Total Victims
0,2016,M,38,Black,17
1,2014,M,15,Native American,6
2,2013,M,34,Black,20
3,2018,M,17,White,23
4,2018,M,32,Latino,3
5,2019,M,45,Black,11
6,2016,M,25,Black,16
7,2022,M,18,Latino,38
8,2013,M,42,Latino,7
9,2003,M,48,White,15
10,2017,M,26,Latino,11
11,1989,M,26,White,35
12,2009,M,45,White,11
13,2012,M,43,Asian,10
14,2004,M,25,White,12
15,2011,M,32,Latino,12
16,2017,M,24,White,3
17,2017,M,26,White,46
18,2012,M,40,White,10
19,2018,M,29,White,8
20,2015,M,33,White,3
21,2012,M,20,White,29
22,2006,M,32,White,11
23,2018,M,28,White,5
24,2019,M,24,White,36
25,2017,M,38,Asian,5
26,2006,F,44,White,8
27,1988,M,39,White,11
28,2014,M,34,Latino,15
29,2011,M,22,White,19
30,1984,M,39,White,7
31,2016,M,45,White,8
32,1999,M,47,White,15
33,2018,F,26,Black,6
34,1984,M,41,White,41
35,2015,M,21,White,10
36,2013,M,27,Black,5
37,2017,M,37,Black,6
38,1993,M,55,White,15
39,2009,M,41,Asian,18
40,2008,M,52,Black,8
41,2015,M,57,White,12
42,2017,M,43,White,3
43,2014,M,22,White,19
44,2019,M,21,White,48
45,2011,M,42,White,9
46,1998,M,35,White,6
47,1993,M,22,White,12
48,2022,M,70,White,3
49,2017,M,39,Black,3
50,2019,M,40,Black,16
51,2013,M,23,White,9
52,1997,M,43,Black,7
53,2022,M,21,White,53
54,2007,M,23,Asian,55
55,1991,M,35,White,44
56,2006,M,28,White,9
57,1990,M,42,Black,14
58,1986,M,44,White,21
59,2012,M,40,White,7
60,2015,M,27,Latino,4
61,2007,M,20,White,7
62,2017,M,64,White,604
63,2007,M,18,White,10
64,2000,M,42,White,7
65,2009,M,37,Black,5
66,1989,M,47,White,21
67,2008,M,27,White,26
68,1982,M,51,White,11
69,2018,M,38,White,7
70,2013,M,64,White,7
71,2001,M,66,Black,9
72,2020,M,51,Black,5
73,1998,M,11,White,15
74,1993,M,19,Black,5
75,1992,M,20,White,14
76,1999,M,44,White,22
77,2012,M,36,White,8
78,2018,M,29,Latino,5
79,2019,M,21,White,5
80,2010,M,34,Black,11
81,2018,M,19,White,34
82,1992,M,50,White,5
83,2022,M,20,White,5
84,2022,M,18,White,13
85,2005,M,16,Native American,15
86,2017,M,47,White,3
87,2018,M,46,White,17
88,2012,M,59,Asian,5
89,1998,M,15,White,29
90,2018,M,36,Asian,3
91,1994,M,20,White,28
92,1991,M,31,White,10
93,1999,M,17,White,37
94,2021,M,19,White,15
